src_pt,src_cat,src_sc,count,status,ent_pt_2,ent_cat_2,ent_sc_2,notes
Lighting,Table + Desk Lamps,Floor Lamps,7,,Home,Decor,Lighting,
Lighting,Table + Desk Lamps,Lanterns + Portable Lighting,23,,Home,Decor,Lighting,
Lighting,Table + Desk Lamps,Lighting Cords + Shades,2,,Home,Decor,Lighting,
Lighting,Table + Desk Lamps,Table Lamps,155,,Home,Decor,Lighting,
Lighting,Table + Desk Lamps,Wall Lamps + Sconces,4,,Home,Decor,Lighting,
Lighting,Table + Desk Lamps,Wall-Mounted Lighting,2,,Home,Decor,Lighting,
Lighting,Outdoor Lighting,Outdoor Lighting,47,,Home,Decor,Lighting,
Lighting,Outdoor Lighting,Outdoor Accessories + Decor,,,Home,Decor,Lighting,
Outdoor,-,-,1189,,Home,Z_Other,-,
Outdoor,Indoor-Outdoor Rugs,Floor Mats,0,,Home,Decor,Rugs,
Outdoor,Indoor-Outdoor Rugs,Indoor-Outdoor Rugs,10,,Home,Decor,Rugs,
Outdoor,Indoor-Outdoor Rugs,Rug Pads,0,,Home,Decor,Rugs,
Outdoor,Outdoor Accessories,Bathroom Accessories,0,,Home,Z_Other,-,
Outdoor,Outdoor Accessories,Fire Pits + Patio Heaters,0,,Home,Decor,-,
Outdoor,Outdoor Accessories,Outdoor Accessories,0,,Home,Decor,-,
Outdoor,Outdoor Accessories,Outdoor Decor,0,,Home,Decor,-,
Outdoor,Outdoor Accessories,Outdoor Furniture Covers,0,,Home,Decor,-,
Outdoor,Outdoor Accessories,Outdoor Hardware + Accessories,0,,Home,Decor,-,
Outdoor,Outdoor Accessories,Outdoor Lanterns,0,,Home,Decor,Lighting,
Outdoor,Outdoor Accessories,Outdoor Mats,0,,Home,Decor,Rugs,
Outdoor,Outdoor Accessories,Outdoor Planters + Pots,0,,Home,Decor,-,
Outdoor,Outdoor Accessories,"Outdoor Seat Pads, Cushions + Pillows",0,,Home,Decor,-,
Outdoor,Outdoor Accessories,"Seat Pads, Cushions + Slipcovers",0,,Home,Decor,-,
Outdoor,Outdoor Furniture,Adirondack + Deck Chairs,41,,Home,Furniture,Chairs and Sofas,
Outdoor,Outdoor Furniture,Heated Outdoor Furniture,6,,Home,Furniture,Chairs and Sofas,
Outdoor,Outdoor Furniture,Outdoor Accessories + Decor,47,,Home,Decor,-,
Outdoor,Outdoor Furniture,Outdoor Benches,74,,Home,Furniture,-,
Outdoor,Outdoor Furniture,Outdoor Chaise Lounges,40,,Home,Furniture,-,
Outdoor,Outdoor Furniture,Outdoor Dining Chairs,115,,Home,Furniture,Chairs and Sofas,
Outdoor,Outdoor Furniture,Outdoor Dining Furniture,47,,Home,Furniture,-,
Outdoor,Outdoor Furniture,Outdoor Dining Tables,97,,Home,Furniture,Tables and Desks,
Outdoor,Outdoor Furniture,Outdoor Furniture Covers,5,,Home,Z_Other,-,
Outdoor,Outdoor Furniture,Outdoor Furniture Sets,52,,Home,Furniture,-,
Outdoor,Outdoor Furniture,Outdoor Lounge Chairs,169,,Home,Furniture,Chairs and Sofas,
Outdoor,Outdoor Furniture,Outdoor Ottomans + Footstools,79,,Home,Furniture,Chairs and Sofas,
Outdoor,Outdoor Furniture,Outdoor Side + Coffee Tables,152,,Home,Furniture,Side Tables,
Outdoor,Outdoor Furniture,Outdoor Sofas + Sectionals,104,,Home,Furniture,Chairs and Sofas,
Outdoor,Outdoor Furniture,Outdoor Stools,35,,Home,Furniture,Chairs and Sofas,
Outdoor,Outdoor Furniture,Outdoor Storage + Organization,6,,Home,Furniture,Storage,
Outdoor,Outdoor Furniture,Patio Umbrellas,0,,Home,Z_Other,-,
Outdoor,Outdoor Lighting,Outdoor Accessories + Decor,0,,Home,Decor,Lighting,
Outdoor,Outdoor Lighting,Outdoor Lighting,0,,Home,Decor,Lighting,
Outdoor,Outdoor Storage,Outdoor Accessories + Decor,50,,Home,Furniture,Storage,
Outdoor,Outdoor Storage,Outdoor Storage + Organization,6,,Home,Furniture,Storage,
Outdoor,Patio Umbrellas,Outdoor Storage + Organization,8,,Home,Z_Other,-,
Outdoor,Patio Umbrellas,Patio Umbrellas,46,,Home,Z_Other,-,
Rugs,-,-,539,,,,,
Rugs,Area Rugs,-,87,,Home,Decor,Rugs,
Rugs,Floor Mats,-,2,,Home,Decor,Rugs,
Rugs,Indoor-Outdoor Rugs,-,0,,Home,Decor,Rugs,
Rugs,Rug Pads,-,7,,Home,Decor,Rugs,
Rugs,Sheepskin + Hide Rugs,-,15,,Home,Decor,Rugs,
Rugs,Textured Rugs,-,33,,Home,Decor,Rugs,
Rugs,Tufted Rugs,-,180,,Home,Decor,Rugs,
Rugs,Woven + Flat Weave Rugs,-,215,,Home,Decor,Rugs,
Storage,-,-,326,,Home,Furniture,Storage,
Storage,"Chests, Dressers + Armoires",Armoires,11,,Home,Furniture,Storage,
Storage,"Chests, Dressers + Armoires",Chests + Dressers,46,,Home,Furniture,Dressers,
Storage,"Chests, Dressers + Armoires",Freestanding Shelving + Storage,0,,Home,Furniture,Storage,
Storage,Closet Storage,"Boxes, Baskets + Crates",0,,Home,Furniture,Storage,
Storage,Closet Storage,Freestanding Shelving + Storage,0,,Home,Furniture,Storage,
Storage,Closet Storage,Step Stools,0,,Home,Furniture,-,
Storage,Closet Storage,Wall-Mounted Shelving + Storage,0,,Home,Furniture,Storage,
Storage,"Credenzas, Buffets + Sideboards",Credenzas + Sideboards,21,,Home,Furniture,-,
Storage,"Credenzas, Buffets + Sideboards",Freestanding Shelving + Storage,10,,Home,Furniture,Storage,
Storage,"Credenzas, Buffets + Sideboards",Media Storage,4,,Home,Furniture,Storage,
Storage,"Credenzas, Buffets + Sideboards",Office + File Storage,0,,Home,Furniture,Storage,
Storage,"Credenzas, Buffets + Sideboards",Storage Benches,1,,Home,Furniture,Storage,
Storage,"Credenzas, Buffets + Sideboards",Storage Consoles,0,,Home,Furniture,Storage,
Storage,"Credenzas, Buffets + Sideboards",Wall-Mounted Shelving + Storage,2,,Home,Furniture,Storage,
Storage,Home Organization,Book Storage + Organization,,,Home,Furniture,Storage,
Storage,Home Organization,"Boxes, Baskets + Crates",0,,Home,Organization,Baskets and Bins,
