productType,category,subCategory,pt aliases,cat aliases,sub-cat aliases,descriptions,,,
Home,Decor,Lighting,,,,,,,
Home,Decor,Mirrors,,,,,,,
Home,Decor,Photo Albums,,,,,,,
Home,Decor,Photo Frames,,,,,,,
Home,Decor,Rugs,,,,,,,
Home,Decor,Tabletop,,,,,,,
Home,Decor,Wall Decals (Stickers),,,,,,,
Home,Decor,Wallpaper,,,,,,,
Home,Decor,Water Globes,,,,,,,
Home,Furniture,-,,,,,,,
Home,Furniture,Beds,,,,,,,
Home,Furniture,Bookcases and Cubbies,,,,,,,
Home,Furniture,Chairs and Sofas,,,,,,,
Home,Furniture,Changing Tables,,,,,,,
Home,Furniture,Dressers,,,,,,,
Home,Furniture,Safety Features,,,,,,,
Home,Furniture,Side Tables,,,,,,,
Home,Furniture,Storage,,,,,,,
Home,Furniture,Tables and Desks,,,,,,,
Home,Furniture,Vanities,,,,,,,
Home,Kitchen,-,,,,,,,
Home,Kitchen,Kid Bowls,,,,,,,
Home,Kitchen,Kid Cups,,,,,,,
Home,Kitchen,Kid Plates,,,,,,,
Home,Kitchen,Kid Utensils,,,,,,,
Home,Kitchen,Placemats,,,,,,,
Home,Kitchen,Sippy Cups,,,,,,,
Home,Kitchen,Straw Cups,,,,,,,
Home,Kitchen,Straws,,,,,,,
Home,Kitchen,Water Bottles,,,,,,,
Home,Organization,-,,,,,,,
Home,Organization,Baskets and Bins,,,,,,,
Home,Organization,Drawers,,,,,,,
Home,Party Goods and Supplies,-,,,,,,,
Home,Party Goods and Supplies,Balloons,,,,,,,
Home,Party Goods and Supplies,Banners and Garlands,,,,,,,
Home,Party Goods and Supplies,Cake Toppers and Candles,,,,,,,
Home,Party Goods and Supplies,Disposable Dinnerware,,,,,,,
Home,Party Goods and Supplies,Party Favors,,,,,,,
Home,Party Goods and Supplies,Party Hats and Masks,,,,,,,
Home,Party Goods and Supplies,Pinatas,,,,,,,
Home,Safety,-,,,,,,,
Home,Safety,Bathroom Safety,,,,,,,
Home,Safety,Bed Rails,,,,,,,
Home,Safety,Edge & Corner Guards,,,,,,,
Home,Safety,Electrical Safety,,,,,,,
Home,Safety,Gates,,,,,,,
Home,Safety,Guards & Locks,,,,,,,
Home,Safety,Kitchen Safety,,,,,,,
Home,Z_Other,-,,,,,,,
Jewelry,-,-,,,,,,,
Jewelry,Bracelets,-,,,,,,,
Jewelry,Earrings,-,,,,,,,
Jewelry,Necklaces,-,,,,,,,
Jewelry,Rings,-,,,,,,,
Jewelry,Watches,-,,,,,,,
Jewelry,Watches,Analog Watches,,,Traditional Watches,,,,
Jewelry,Watches,Digital Watches,,,,,,,
Jewelry,Watches,Smartwatches,,,,,,,
Jewelry,Z_Other,-,,,,,,,
Office Supplies,-,-,,,,,,,
Office Supplies,Announcements & Invitations,-,,,,,,,
