src_pt,src_cat,src_sc,count,status,ent_pt_2,ent_cat_2,ent_sc_2,notes,,,
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Cushions,0,,Toys,Lawn Games,-,,Age/Grade,3 Years (Preschool),Bubbles
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Divider Panel,6,,Home,Furniture,-,,Age/Grade,3 Years (Preschool),Buggy
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Doll Accessories,1,,Toys,Doll Accessories,-,,Age/Grade,3 Years (Preschool),Building Blocks
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Educational Carpets,0,,Toys,Baby & Toddler Toys,Baby Gyms & Playmats,,Age/Grade,3 Years (Preschool),"Building Blocks,Plush Toys"
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Figures,2,,Toys,Miniatures & Action Figures,Animal Figures,,Age/Grade,3 Years (Preschool),"Building Blocks,Storage"
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Floor Pillows,0,,Toys,Lawn Games,-,Cushions,Age/Grade,3 Years (Preschool),"Building Blocks,Storage,Table Top Blocks"
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Folding Rest Mat,0,,Baby Gear,Sleeping,-,,Age/Grade,3 Years (Preschool),"Building Blocks,Table Top Blocks"
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | General Use Carpets,0,,Toys,Baby & Toddler Toys,Baby Gyms & Playmats,,Age/Grade,3 Years (Preschool),"Business Toys,Currency"
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Locker,0,,Home,Furniture,Storage,,Age/Grade,3 Years (Preschool),Cabinet
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Mats,0,,Toys,Baby & Toddler Toys,Baby Gyms & Playmats,,Age/Grade,3 Years (Preschool),Card Games
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Mirrors,0,,Toys,Baby & Toddler Toys,Mirror Toys,,Age/Grade,3 Years (Preschool),Chair
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | No Fold Rest Mat,0,,Baby Gear,Sleeping,-,,Age/Grade,3 Years (Preschool),Chairs
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Panel Accessories,0,,Home,Furniture,-,,Age/Grade,3 Years (Preschool),Chalk Board
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Partition,0,,Toys,Z_Other,-,,Age/Grade,3 Years (Preschool),Chalkboard
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Pillows,0,,Home,Decor,Decorative Pillows and Throws,,Age/Grade,3 Years (Preschool),Chart
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Play Center,0,,Toys,Playsets & Equipment,-,,Age/Grade,3 Years (Preschool),Clay
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Play Space Pieces,0,,Toys,Playsets & Equipment,-,,Age/Grade,3 Years (Preschool),Climber
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Play Space,0,,Toys,Playsets & Equipment,-,,Age/Grade,3 Years (Preschool),"Climber,Play Space"
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Playtime Carpets,0,,Toys,Baby & Toddler Toys,Baby Gyms & Playmats,,Age/Grade,3 Years (Preschool),Climbing Wall
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Posters,0,,Crafts & School Supplies,Z_Other,-,,Age/Grade,3 Years (Preschool),Community Blocks
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Poufs,0,,Home,Furniture,-,,Age/Grade,3 Years (Preschool),Connecting Blocks
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Rocker,0,,Toys,Z_Other,-,,Age/Grade,3 Years (Preschool),Connecting Pieces
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Role Playing Toys,0,,Toys,Pretend Play,-,,Age/Grade,3 Years (Preschool),Costume Accessories
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Sensory Activities,0,,Toys,Baby & Toddler Toys,-,,Age/Grade,3 Years (Preschool),Costumes
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Signage,0,,Toys,Z_Other,-,,Age/Grade,3 Years (Preschool),Counting Pieces
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Sofas,0,,Toys,Pretend Play,Toy Furniture,,Age/Grade,3 Years (Preschool),"Counting Pieces,Activity Set"
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Specimen,0,,Toys,Science & Exploration Toys,Nature Exploration Toys,,Age/Grade,3 Years (Preschool),"Counting Pieces,Activity Set,2D Pieces"
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Stones,0,,Toys,Science & Exploration Toys,Nature Exploration Toys,,Age/Grade,3 Years (Preschool),"Counting Pieces,Activity Set,Connecting Pieces"
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | Storage,0,,Toys,Pretend Play,Toy Furniture,,Age/Grade,3 Years (Preschool),"Counting Pieces,Activity Set,Connecting Pieces,Number Pieces"
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | bundle,0,,Toys,Playsets & Equipment,-,,Age/Grade,3 Years (Preschool),"Counting Pieces,Connecting Pieces,Number Pieces"
Furniture,Classroom Furniture Collections,Nature-Inspired Collection | n/a,0,,Toys,Learning Toys,-,,Age/Grade,3 Years (Preschool),"Counting Pieces,Currency"
Furniture,Classroom Furniture Collections,Peaceful Spaces Collection | Border,0,,Home,Furniture,-,,Age/Grade,3 Years (Preschool),"Counting Pieces,Number Pieces"
Furniture,Classroom Furniture Collections,"Peaceful Spaces Collection | Climber,Play Space",0,,Toys,Playsets & Equipment,Climbers,,Age/Grade,3 Years (Preschool),Craft Kit
Furniture,Classroom Furniture Collections,Peaceful Spaces Collection | Climber,0,,Toys,Playsets & Equipment,Climbers,,Age/Grade,3 Years (Preschool),Craft Project
Furniture,Classroom Furniture Collections,Peaceful Spaces Collection | Crib Mattress,0,,Home,Bedding and Linen,Mattresses,,Age/Grade,3 Years (Preschool),Craft Storage
Furniture,Classroom Furniture Collections,Peaceful Spaces Collection | Crib,0,,Baby Gear,Sleeping,Cribs,,Age/Grade,3 Years (Preschool),Currency
