src_pt,src_cat,src_sc,count,status,ent_pt_2,ent_cat_2,ent_sc_2,notes,Unnamed: 9,Unnamed: 10,Unnamed: 11,combined
furniture,classroom furniture collections,flexible classroom  easel,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),Cushions,furniture classroom furniture collections flexible classroom  easel
furniture,classroom furniture collections,flexible classroom  fold  lock,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),Instrument Set,furniture classroom furniture collections flexible classroom  fold  lock
furniture,classroom furniture collections,flexible classroom  mirror,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),Jump Rope,furniture classroom furniture collections flexible classroom  mirror
furniture,classroom furniture collections,flexible classroom  organizer,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),Mats,furniture classroom furniture collections flexible classroom  organizer
furniture,classroom furniture collections,flexible classroom  rack,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),Movement Kit,furniture classroom furniture collections flexible classroom  rack
furniture,classroom furniture collections,flexible classroom  room dividers,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),Musical Instruments,furniture classroom furniture collections flexible classroom  room dividers
furniture,classroom furniture collections,flexible classroom  shelf storage,0.0,,home,furniture,storage,,Age/Grade,12 Years (Grade 7),,furniture classroom furniture collections flexible classroom  shelf storage
furniture,classroom furniture collections,flexible classroom  storagecabinet,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),Notebooks,furniture classroom furniture collections flexible classroom  storagecabinet
furniture,classroom furniture collections,flexible classroom  storageshelf storage,0.0,,home,furniture,storage,,Age/Grade,12 Years (Grade 7),Obstacle Kit,furniture classroom furniture collections flexible classroom  storageshelf storage
furniture,classroom furniture collections,flexible classroom  storage bench,0.0,,home,furniture,storage,,Age/Grade,12 Years (Grade 7),Paint Kit,furniture classroom furniture collections flexible classroom  storage bench
furniture,classroom furniture collections,flexible classroom  storage,0.0,,home,furniture,storage,,Age/Grade,12 Years (Grade 7),Pegboard,furniture classroom furniture collections flexible classroom  storage
furniture,classroom furniture collections,flexible classroom  bundle,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),Puzzles,furniture classroom furniture collections flexible classroom  bundle
furniture,classroom furniture collections,flexible classroom  na,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),Ring Binders,furniture classroom furniture collections flexible classroom  na
furniture,classroom furniture collections,modern classroom  bar tabletables,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),Science Kit,furniture classroom furniture collections modern classroom  bar tabletables
furniture,classroom furniture collections,modern classroom  basket,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),"Sofa,Stool,Pillows,Bean Bag Chair,Soft Seating",furniture classroom furniture collections modern classroom  basket
furniture,classroom furniture collections,modern classroom  bean bag chair,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),Sport Kit,furniture classroom furniture collections modern classroom  bean bag chair
furniture,classroom furniture collections,modern classroom  bench,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),Sports Markers,furniture classroom furniture collections modern classroom  bench
furniture,classroom furniture collections,modern classroom  border,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),Toy Set,furniture classroom furniture collections modern classroom  border
furniture,classroom furniture collections,modern classroom  cabinet,0.0,,home,furniture,,,Age/Grade,12 Years (Grade 7),Whiteboard,furniture classroom furniture collections modern classroom  cabinet
furniture,classroom furniture collections,modern classroom  chair,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),2D Pieces,furniture classroom furniture collections modern classroom  chair
furniture,classroom furniture collections,modern classroom  chairs,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),3D Pieces,furniture classroom furniture collections modern classroom  chairs
furniture,classroom furniture collections,modern classroom  educational carpets,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"3D Pieces,Activity Set,Connecting Pieces",furniture classroom furniture collections modern classroom  educational carpets
furniture,classroom furniture collections,modern classroom  furniture set,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"3D Pieces,Building Blocks,Table Top Blocks",furniture classroom furniture collections modern classroom  furniture set
furniture,classroom furniture collections,modern classroom  general use carpets,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"3D Pieces,Connecting Pieces",furniture classroom furniture collections modern classroom  general use carpets
furniture,classroom furniture collections,modern classroom  paper rollpatterned paper,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"3D Pieces,Counting Pieces",furniture classroom furniture collections modern classroom  paper rollpatterned paper
furniture,classroom furniture collections,modern classroom  pasting pieces,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"3D Pieces,Counting Pieces,Activity Set",furniture classroom furniture collections modern classroom  pasting pieces
furniture,classroom furniture collections,modern classroom  play space,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"3D Pieces,Counting Pieces,Activity Set,Connecting Pieces",furniture classroom furniture collections modern classroom  play space
furniture,classroom furniture collections,modern classroom  playtime carpets,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"3D Pieces,Counting Pieces,Connecting Pieces",furniture classroom furniture collections modern classroom  playtime carpets
furniture,classroom furniture collections,modern classroom  preschool tables,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"3D Pieces,Floor Unit Blocks,Building Blocks",furniture classroom furniture collections modern classroom  preschool tables
furniture,classroom furniture collections,modern classroom  sensory activities,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"3D Pieces,Measuring Supplies,Counting Pieces,Tools",furniture classroom furniture collections modern classroom  sensory activities
furniture,classroom furniture collections,modern classroom  sofa,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"3D Pieces,Table Top Blocks",furniture classroom furniture collections modern classroom  sofa
furniture,classroom furniture collections,modern classroom  sofas,0.0,,home,furniture,chairs and sofas,,Age/Grade,3 Years (Preschool),"3D Pieces,Table Top Blocks,Connecting Blocks,Connecting Pieces",furniture classroom furniture collections modern classroom  sofas
furniture,classroom furniture collections,modern classroom  tables,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"3D Pieces,Table Top Blocks,Connecting Pieces",furniture classroom furniture collections modern classroom  tables
furniture,classroom furniture collections,modern classroom  na,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Activity Board,furniture classroom furniture collections modern classroom  na
furniture,classroom furniture collections,modern farmhouse collection  activity tables,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Activity Center,furniture classroom furniture collections modern farmhouse collection  activity tables
furniture,classroom furniture collections,modern farmhouse collection  art  drawing paper,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Activity Set,furniture classroom furniture collections modern farmhouse collection  art  drawing paper
furniture,classroom furniture collections,modern farmhouse collection  basket,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"Activity Set,2D Pieces",furniture classroom furniture collections modern farmhouse collection  basket
furniture,classroom furniture collections,modern farmhouse collection  border,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"Activity Set,2D Pieces,Connecting Pieces",furniture classroom furniture collections modern farmhouse collection  border
furniture,classroom furniture collections,modern farmhouse collection  chair,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"Activity Set,2D Pieces,Connecting Pieces,Number Pieces",furniture classroom furniture collections modern farmhouse collection  chair
furniture,classroom furniture collections,modern farmhouse collection  chart,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"Activity Set,2D Pieces,Puzzles",furniture classroom furniture collections modern farmhouse collection  chart
furniture,classroom furniture collections,modern farmhouse collection  climber,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"Activity Set,Flash Cards,Number Pieces",furniture classroom furniture collections modern farmhouse collection  climber
furniture,classroom furniture collections,modern farmhouse collection  divider panelpartition,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"Activity Set,Number Pieces",furniture classroom furniture collections modern farmhouse collection  divider panelpartition
furniture,classroom furniture collections,modern farmhouse collection  floor pillows,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Activity Table,furniture classroom furniture collections modern farmhouse collection  floor pillows
furniture,classroom furniture collections,modern farmhouse collection  general use carpets,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Activity Tables,furniture classroom furniture collections modern farmhouse collection  general use carpets
furniture,classroom furniture collections,modern farmhouse collection  pasting piecescraft project,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Alphabet Pieces,furniture classroom furniture collections modern farmhouse collection  pasting piecescraft project
furniture,classroom furniture collections,modern farmhouse collection  posters,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Appliances,furniture classroom furniture collections modern farmhouse collection  posters
furniture,classroom furniture collections,modern farmhouse collection  poufs,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"Appliances,Sink,Stove",furniture classroom furniture collections modern farmhouse collection  poufs
furniture,classroom furniture collections,modern farmhouse collection  shelf storage,0.0,,home,furniture,storage,,Age/Grade,3 Years (Preschool),Baby Doll,furniture classroom furniture collections modern farmhouse collection  shelf storage
furniture,classroom furniture collections,modern farmhouse collection  sofa,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Back Pack,furniture classroom furniture collections modern farmhouse collection  sofa
furniture,classroom furniture collections,modern farmhouse collection  soft seating,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Balance Beam,furniture classroom furniture collections modern farmhouse collection  soft seating
furniture,classroom furniture collections,modern farmhouse collection  stickers,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Balls,furniture classroom furniture collections modern farmhouse collection  stickers
furniture,classroom furniture collections,modern farmhouse collection  storageshelf storage,0.0,,home,furniture,storage,,Age/Grade,3 Years (Preschool),"Bar Table,Tables",furniture classroom furniture collections modern farmhouse collection  storageshelf storage
furniture,classroom furniture collections,modern farmhouse collection  storage,0.0,,home,furniture,storage,,Age/Grade,3 Years (Preschool),Basket,furniture classroom furniture collections modern farmhouse collection  storage
furniture,classroom furniture collections,modern farmhouse collection  na,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Beads,furniture classroom furniture collections modern farmhouse collection  na
furniture,classroom furniture collections,natureinspired collection  activity table,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Bean Bag Chair,furniture classroom furniture collections natureinspired collection  activity table
furniture,classroom furniture collections,natureinspired collection  alphabet pieces,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Bean Bags,furniture classroom furniture collections natureinspired collection  alphabet pieces
furniture,classroom furniture collections,natureinspired collection  banner,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Bench,furniture classroom furniture collections natureinspired collection  banner
furniture,classroom furniture collections,natureinspired collection  basket,3.0,,home,furniture,,,Age/Grade,3 Years (Preschool),"Blankets,Sheets",furniture classroom furniture collections natureinspired collection  basket
furniture,classroom furniture collections,natureinspired collection  bean bag chair,0.0,,home,furniture,,,Age/Grade,3 Years (Preschool),Board Decor,furniture classroom furniture collections natureinspired collection  bean bag chair
